id;lat;lon;z;weight;panoid;type;typename;plat;plon;pz;azimuth
7684478;55.739561;37.604761;140.830551;214.793;7497818;25;Остановка и стоянка запрещена;55.7395;37.605;139.642990112305;31
7684479;55.761853;37.605419;173.592041;214.51;7499452;34;Пешеходный переход наземный;55.7618;37.6055;172.717559814453;33
7684480;55.764367;37.605712;179.213547;214.505;7496705;109;Подземный пешеходный переход;55.7647;37.6053;178.769256591797;123
7684481;55.741448;37.587041;155.554062;214.473;7498192;25;Остановка и стоянка запрещена;55.7417;37.5868;154.563171386719;303
7684482;55.750882;37.602073;159.974884;214.391;7500587;34;Пешеходный переход наземный;55.7511;37.6018;157.952087402344;274
7684483;55.753078;37.602141;160.724854;214.373;7500298;16;Кирпич;55.753;37.6024;160.567581176758;3
7684484;55.752496;37.589976;162.376328;214.343;7500371;109;Подземный пешеходный переход;55.7527;37.5906;161.181900024414;270
7684485;55.739297;37.603016;140.546051;214.223;7497826;25;Остановка и стоянка запрещена;55.7393;37.603;140.443832397461;43
7684486;55.738487;37.599216;143.886551;213.874;7497849;34;Пешеходный переход наземный;55.7388;37.5996;142.530670166016;229
7684487;55.743616;37.593611;154.472031;213.507;7498832;57;Осторожно дети;55.7437;37.5935;154.131103515625;96
7684488;55.743288;37.597423;153.377106;213.211;7497681;34;Пешеходный переход наземный;55.743;37.5971;153.133773803711;67
7684489;55.756252;37.59884;164.109802;213.205;7497257;32;Остановка автобуса;55.7565;37.5987;163.969329833984;322
7684490;55.754117;37.606006;158.700928;213.136;7499742;25;Остановка и стоянка запрещена;55.7539;37.606;158.655944824219;24
7684491;55.761932;37.605369;173.084641;213.022;7499452;34;Пешеходный переход наземный;55.7618;37.6055;172.717559814453;59
7684492;55.757481;37.600005;169.698883;213.01;7499376;34;Пешеходный переход наземный;55.7573;37.6004;168.81575012207;221
7684493;55.741641;37.601628;152.636139;212.744;7497716;16;Кирпич;55.7416;37.6017;151.773345947266;294
7684494;55.75901;37.611739;164.255356;212.343;7499584;109;Подземный пешеходный переход;55.759;37.6114;163.763000488281;137
7684495;55.75291;37.605447;161.134293;211.757;7499961;34;Пешеходный переход наземный;55.7528;37.6054;160.254150390625;29
7684496;55.742335;37.588727;153.467224;211.661;7498543;34;Пешеходный переход наземный;55.7424;37.5886;151.778839111328;117
7684497;55.740734;37.600669;144.077164;211.383;7497636;25;Остановка и стоянка запрещена;55.7406;37.6011;141.876861572266;295
7684498;55.741275;37.599459;145.976181;210.781;7497645;34;Пешеходный переход наземный;55.7411;37.6;144.127319335938;269
7684499;55.737376;37.594876;147.016815;210.692;7497476;16;Кирпич;55.7372;37.5953;146.388534545898;286
7684500;55.763033;37.607298;176.173096;210.576;7499204;34;Пешеходный переход наземный;55.763;37.6072;175.494491577148;56
7684501;55.739111;37.602827;141.471878;210.419;7497952;16;Кирпич;55.7391;37.6029;140.378112792969;224
7684502;55.740078;37.589531;153.558044;210.406;7498106;34;Пешеходный переход наземный;55.7399;37.5894;153.381149291992;296
7684503;55.74979;37.606851;156.753326;210.195;7500003;31;Одностороннее движение;55.7498;37.6063;156.390228271484;34
7684504;55.756193;37.607242;157.930664;210.087;7499767;34;Пешеходный переход наземный;55.756;37.6073;157.432632446289;286
7684505;55.740736;37.591581;159.339844;209.965;7498397;34;Пешеходный переход наземный;55.7407;37.5918;153.351669311523;251
7684506;55.738269;37.597925;148.814316;209.645;7498029;126;Стоянка запрещена;55.7383;37.598;147.217483520508;293
7684507;55.737488;37.601201;140.949066;209.628;7497929;34;Пешеходный переход наземный;55.7375;37.601;139.451416015625;235
7684508;55.765434;37.604736;181.113937;209.138;7497067;16;Кирпич;55.7651;37.6049;179.15788269043;66
7684509;55.740682;37.591855;154.775986;208.897;7498329;34;Пешеходный переход наземный;55.741;37.5915;153.081954956055;122
7684510;55.736943;37.601937;141.489761;208.404;7497973;25;Остановка и стоянка запрещена;55.7371;37.6018;140.357849121094;119
7684511;55.753958;37.605929;159.180405;208.147;7499770;34;Пешеходный переход наземный;55.754;37.606;158.511413574219;204
7684512;55.763149;37.607239;177.82634;208.103;7496724;34;Пешеходный переход наземный;55.7633;37.6072;176.481399536133;236
7684513;55.759057;37.611547;164.719971;207.426;7496775;16;Кирпич;55.7593;37.6115;163.847412109375;251
7684514;55.763856;37.606986;179.453384;207.296;7497046;34;Пешеходный переход наземный;55.7637;37.607;177.810180664063;69
7684515;55.753136;37.598417;161.236649;206.963;7500320;25;Остановка и стоянка запрещена;55.753;37.5989;158.858123779297;351
7684516;55.757898;37.597881;167.952026;206.9;7497237;34;Пешеходный переход наземный;55.7582;37.5983;166.551803588867;212
